collection_id,loan_id,application_no,reason
4671,2523,HEV-RJ-10,tracker_paid_on_missing_or_invalid
4672,2523,HEV-RJ-10,tracker_paid_on_missing_or_invalid
4673,2523,HEV-RJ-10,tracker_paid_on_missing_or_invalid
4674,2523,HEV-RJ-10,tracker_paid_on_missing_or_invalid
4675,2523,HEV-RJ-10,tracker_paid_on_missing_or_invalid
4676,2523,HEV-RJ-10,tracker_paid_on_missing_or_invalid
4677,2523,HEV-RJ-10,tracker_paid_on_missing_or_invalid
4678,2523,HEV-RJ-10,tracker_paid_on_missing_or_invalid
4679,2523,HEV-RJ-10,tracker_paid_on_missing_or_invalid
7743,1223,HEV-RJ-251,tracker_paid_on_missing_or_invalid
7744,1223,HEV-RJ-251,tracker_paid_on_missing_or_invalid
7745,1223,HEV-RJ-251,tracker_paid_on_missing_or_invalid
7746,1223,HEV-RJ-251,tracker_paid_on_missing_or_invalid
7747,1223,HEV-RJ-251,tracker_paid_on_missing_or_invalid
7748,1223,HEV-RJ-251,tracker_paid_on_missing_or_invalid
7749,1223,HEV-RJ-251,tracker_paid_on_missing_or_invalid
7750,1223,HEV-RJ-251,tracker_paid_on_missing_or_invalid
7751,1223,HEV-RJ-251,tracker_paid_on_missing_or_invalid
7752,1223,HEV-RJ-251,tracker_paid_on_missing_or_invalid
16423,1028,HEV-000518,tracker_paid_on_missing_or_invalid
16424,1028,HEV-000518,tracker_paid_on_missing_or_invalid
16425,1028,HEV-000518,tracker_paid_on_missing_or_invalid
16426,1028,HEV-000518,tracker_paid_on_missing_or_invalid
16427,1028,HEV-000518,tracker_paid_on_missing_or_invalid
16428,1028,HEV-000518,tracker_paid_on_missing_or_invalid
16429,1028,HEV-000518,tracker_paid_on_missing_or_invalid
16430,1028,HEV-000518,tracker_paid_on_missing_or_invalid
16431,1028,HEV-000518,tracker_paid_on_missing_or_invalid
16432,1028,HEV-000518,tracker_paid_on_missing_or_invalid
16433,1028,HEV-000518,tracker_paid_on_missing_or_invalid
