2026-05-17 23:48:13,013 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | loaded 5 env vars from /home/prince/Desktop/BACKFILL/.env
2026-05-17 23:48:13,148 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=3706 raw_application_id=3706 raw_dp_collection_id=50289 raw_phase=PHASE_3
2026-05-17 23:48:13,148 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2727 raw_application_id=2727 raw_dp_collection_id=1010 raw_phase=PHASE_3
2026-05-17 23:48:13,148 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=573 raw_application_id=573 raw_dp_collection_id=1226 raw_phase=PHASE_2
2026-05-17 23:48:13,150 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=573 application_id=573 dp_collection_id=1226 current_status=DONE
2026-05-17 23:48:13,150 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=711 raw_application_id=711 raw_dp_collection_id=1260 raw_phase=PHASE_2
2026-05-17 23:48:13,151 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=711 application_id=711 dp_collection_id=1260 current_status=DONE
2026-05-17 23:48:13,151 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=1977 raw_application_id=1977 raw_dp_collection_id=1605 raw_phase=PHASE_2
2026-05-17 23:48:13,151 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=1977 application_id=1977 dp_collection_id=1605 current_status=DONE
2026-05-17 23:48:13,152 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2644 raw_application_id=2644 raw_dp_collection_id=1032 raw_phase=PHASE_3
2026-05-17 23:48:13,152 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=101 raw_application_id=101 raw_dp_collection_id=1098 raw_phase=PHASE_3
2026-05-17 23:48:13,152 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=203 raw_application_id=203 raw_dp_collection_id=1105 raw_phase=PHASE_3
2026-05-17 23:48:13,152 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2680 raw_application_id=2680 raw_dp_collection_id=1151 raw_phase=PHASE_3
2026-05-17 23:48:13,152 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=318 raw_application_id=318 raw_dp_collection_id=1176 raw_phase=PHASE_3
2026-05-17 23:48:13,152 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=417 raw_application_id=417 raw_dp_collection_id=1178 raw_phase=PHASE_3
