2026-05-17 15:36:18,991 | INFO | closed_loan_backfill.script_4_settlement_creation | loaded 5 env vars from /home/prince/Desktop/BACKFILL/.env
2026-05-17 15:36:19,595 | INFO | closed_loan_backfill.script_4_settlement_creation | script_4 DB staging bundle: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_4/20260517_100619
2026-05-17 15:36:19,596 | INFO | closed_loan_backfill.script_4_settlement_creation | settlement collections (staging): /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_4/20260517_100619/settlement_collections.csv
2026-05-17 15:36:19,596 | INFO | closed_loan_backfill.script_4_settlement_creation | settlement collection_trans (staging): /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_4/20260517_100619/settlement_collection_trans.csv
2026-05-17 15:36:19,596 | INFO | closed_loan_backfill.script_4_settlement_creation | copied latest sheets to: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_4/script_4_generated_collections_latest.csv and /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_4/script_4_generated_collection_trans_latest.csv
2026-05-17 15:36:19,657 | INFO | closed_loan_backfill.script_4_settlement_creation | settlement apply status sheet: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_4/script_4_settlement_apply_status_latest.xlsx
2026-05-17 15:36:19,692 | INFO | closed_loan_backfill.script_4_settlement_creation | === script_4_settlement_creation summary ===
2026-05-17 15:36:19,693 | INFO | closed_loan_backfill.script_4_settlement_creation | loaded records: 50
2026-05-17 15:36:19,693 | INFO | closed_loan_backfill.script_4_settlement_creation | success count: 49
2026-05-17 15:36:19,693 | INFO | closed_loan_backfill.script_4_settlement_creation | success by reason: {'staged_not_imported': 49}
2026-05-17 15:36:19,693 | INFO | closed_loan_backfill.script_4_settlement_creation | failed count: 1
2026-05-17 15:36:19,693 | INFO | closed_loan_backfill.script_4_settlement_creation | failed by reason: {'FINAL_CLOSE_TYPE must be RECOVERED/FORECLOSE/RETURN': 1}
2026-05-17 15:36:19,693 | INFO | closed_loan_backfill.script_4_settlement_creation | skipped count: 0
2026-05-17 15:36:19,693 | INFO | closed_loan_backfill.script_4_settlement_creation | collections_generated count: 49
2026-05-17 15:36:19,693 | INFO | closed_loan_backfill.script_4_settlement_creation | collection_trans_generated count: 12
2026-05-17 15:36:19,693 | INFO | closed_loan_backfill.script_4_settlement_creation | audit files: {'success': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_4/script_4_settlement_success_20260517_100619.xlsx'), 'failed': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_4/script_4_settlement_failed_20260517_100619.xlsx'), 'skipped': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_4/script_4_settlement_skipped_20260517_100619.xlsx')}
