2026-05-18 00:53:42,958 | INFO | closed_loan_backfill.script_3_backfill_collection | loaded 5 env vars from /home/prince/Desktop/BACKFILL/.env
2026-05-18 00:53:43,077 | INFO | closed_loan_backfill.script_3_backfill_collection | loaded 49 validated tracker rows from /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_1/script_1_validation_success_latest.xlsx
2026-05-18 00:53:43,078 | INFO | closed_loan_backfill.script_3_backfill_collection | input tracker rows by phase (normalized): {'PHASE_2': 27, 'PHASE_3': 22}
2026-05-18 00:53:43,341 | INFO | closed_loan_backfill.script_3_backfill_collection | generated DB sheet: /home/prince/Desktop/BACKFILL/closed_loan_backfill/source_sheets/DB_SHEET.xlsx (801 rows)
2026-05-18 00:53:44,365 | INFO | closed_loan_backfill.script_3_backfill_collection | loaded 3662 LOS rows from /home/prince/Desktop/BACKFILL/closed_loan_backfill/source_sheets/LOS _Data.xlsx
2026-05-18 00:53:44,757 | INFO | closed_loan_backfill.script_3_backfill_collection | mapping-validated input: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_mapping_validated_input.xlsx
2026-05-18 00:53:44,758 | INFO | closed_loan_backfill.script_3_backfill_collection | latest success file: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_backfill_success_latest.xlsx
2026-05-18 00:53:44,788 | INFO | closed_loan_backfill.script_3_backfill_collection | updated collections sheet: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_updated_collections_20260517_192342.xlsx
2026-05-18 00:53:44,801 | INFO | closed_loan_backfill.script_3_backfill_collection | amount mismatch sheet: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_amount_mismatches_20260517_192342.xlsx
2026-05-18 00:53:44,802 | INFO | closed_loan_backfill.script_3_backfill_collection | cannot-update report: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_cannot_update_collections_20260517_192342.csv
2026-05-18 00:53:44,834 | INFO | closed_loan_backfill.script_3_backfill_collection | collections update manifest (for DB import): /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_3/20260517_192342/collections_update_manifest.xlsx (62 rows)
2026-05-18 00:53:44,834 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_trans SQL CSV (PHASE_2 and PHASE_3): /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_3/20260517_192342/collection_trans_20260517_192342.csv (68 rows)
2026-05-18 00:53:44,835 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_comments SQL CSV (PHASE_2 and PHASE_3): /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_3/20260517_192342/collection_comments_20260517_192342.csv (62 rows)
2026-05-18 00:53:44,835 | INFO | closed_loan_backfill.script_3_backfill_collection | --- staged for database import (script_3_step_1_collections_manifest) ---
2026-05-18 00:53:44,835 | INFO | closed_loan_backfill.script_3_backfill_collection |   collections_update_manifest: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_3/20260517_192342/collections_update_manifest.xlsx
2026-05-18 00:53:47,332 | INFO | closed_loan_backfill.script_3_backfill_collection | --- staged for database import (script_3_step_2_trans_and_comments_csv) ---
2026-05-18 00:53:47,332 | INFO | closed_loan_backfill.script_3_backfill_collection |   collection_trans: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_3/20260517_192342/collection_trans_20260517_192342.csv
2026-05-18 00:53:47,332 | INFO | closed_loan_backfill.script_3_backfill_collection |   collection_comments: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_3/20260517_192342/collection_comments_20260517_192342.csv
2026-05-18 00:53:48,682 | INFO | closed_loan_backfill.script_3_backfill_collection | inserted collection_trans=68 and collection_comments=62 into DB
2026-05-18 00:53:48,935 | INFO | closed_loan_backfill.script_3_backfill_collection | === script_3_backfill_collection summary ===
2026-05-18 00:53:48,935 | INFO | closed_loan_backfill.script_3_backfill_collection | loaded records: 49
2026-05-18 00:53:48,935 | INFO | closed_loan_backfill.script_3_backfill_collection | success count: 49
2026-05-18 00:53:48,935 | INFO | closed_loan_backfill.script_3_backfill_collection | success by reason: {'staged_for_import': 25, 'validated_no_eligible_collection': 24}
2026-05-18 00:53:48,935 | INFO | closed_loan_backfill.script_3_backfill_collection | failed count: 0
2026-05-18 00:53:48,935 | INFO | closed_loan_backfill.script_3_backfill_collection | skipped count: 0
2026-05-18 00:53:48,935 | INFO | closed_loan_backfill.script_3_backfill_collection | manual_intervention count: 0
2026-05-18 00:53:48,936 | INFO | closed_loan_backfill.script_3_backfill_collection | updated_collections count: 62
2026-05-18 00:53:48,936 | INFO | closed_loan_backfill.script_3_backfill_collection | updated_collections by reason: {'WOULD_UPDATE_TO_DONE': 62}
2026-05-18 00:53:48,936 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_trans_sql count: 68
2026-05-18 00:53:48,936 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_trans_sql by reason: {'CASH': 38, 'UPI': 30}
2026-05-18 00:53:48,936 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_comments_sql count: 62
2026-05-18 00:53:48,936 | INFO | closed_loan_backfill.script_3_backfill_collection | --- by tracker phase (normalized) ---
2026-05-18 00:53:48,936 | INFO | closed_loan_backfill.script_3_backfill_collection | success rows by phase: {'PHASE_2': 27, 'PHASE_3': 22}
2026-05-18 00:53:48,936 | INFO | closed_loan_backfill.script_3_backfill_collection | failed rows by phase: {}
2026-05-18 00:53:48,936 | INFO | closed_loan_backfill.script_3_backfill_collection | skipped rows by phase: {}
2026-05-18 00:53:48,936 | INFO | closed_loan_backfill.script_3_backfill_collection | updated_collections rows by tracker_phase: {'PHASE_2': 44, 'PHASE_3': 18}
2026-05-18 00:53:48,936 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_trans_sql rows by tracker phase: {'PHASE_2': 47, 'PHASE_3': 21}
2026-05-18 00:53:48,936 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_comments_sql rows by tracker phase: {'PHASE_2': 44, 'PHASE_3': 18}
